ISO_CODE,ISO_NAME,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
CAN,Canada,21.15818,21.20877,21.66911,22.23498,22.31225,21.48692,21.75501,22.16368,21.9762,22.33235,22.32444,21.25968,20.31392,19.88916,20.40506,20.17531,19.56553,19.73905,20.72104,21.08278,20.0247,19.87399,20.34665,20.33948,21.33576,22.36887,21.9313,21.77868,22.60871,22.19534,23.72042,23.57349,23.73226,22.7616,22.9081,22.36309,21.44082,21.51775,21.69064,20.08878,20.11065,19.85943,19.79156,19.79832,19.69417,19.01853,18.62035
CYM,Cayman Islands (the),5.112579,4.892529,6.761674,6.693414,5.427672,6.527111,4.772044,5.28532,4.250212,4.036749,3.971108,5.232976,4.720559,4.970645,5.262391,4.3683,4.731275,4.981094,9.547448,9.382421,8.977106,8.831403,8.375209,6.782923,7.418626,7.805707,7.567761,6.316304,5.80888,5.519502,5.521872,5.692629,5.415813,5.381381,5.745459,5.514888,5.291798,5.62177,5.610274,5.578399,5.777532,6.069553,5.989222,6.486387,6.495716,6.666618,6.678576
CAF,Central African Republic (the),0.070425,0.069722,0.071046,0.078033,0.080633,0.084291,0.082807,0.086673,0.086553,0.098852,0.090189,0.089499,0.091508,0.088337,0.083945,0.085625,0.088848,0.108523,0.098763,0.098596,0.079584,0.091141,0.090236,0.090437,0.103159,0.106157,0.099992,0.114299,0.102446,0.09851,0.094528,0.09674,0.092788,0.09649,0.095091,0.092394,0.092733,0.099684,0.102905,0.098697,0.105753,0.109469,0.112427,0.112354,0.116257,0.116396,0.11835
TCD,Chad,0.058827,0.057923,0.061617,0.060131,0.060415,0.064145,0.063467,0.066977,0.067557,0.078974,0.083989,0.078263,0.079468,0.07465,0.064028,0.065558,0.07141,0.084234,0.075213,0.074007,0.068277,0.075713,0.07559,0.069769,0.089834,0.091455,0.089494,0.101199,0.08774,0.088277,0.08069,0.082606,0.081172,0.097374,0.096741,0.093915,0.092847,0.100453,0.095003,0.088458,0.091081,0.091548,0.10285,0.105368,0.10893,0.116848,0.115237
CHL,Chile,2.861296,3.026406,3.077468,3.016326,2.789068,2.507731,2.503625,2.323049,2.347056,2.4455,2.395201,2.194988,1.835138,1.843535,1.917881,1.817894,1.812117,1.800629,2.145212,2.55216,2.49746,2.320449,2.367534,2.473328,2.665766,2.883685,3.280862,3.720762,3.711056,3.855405,3.534965,3.368499,3.333026,3.388061,3.643543,3.699628,3.743338,4.20636,4.325481,4.09781,4.306652,4.64381,4.523985,4.72975,4.370753,4.33415,4.539582
CHN,China,1.094628,1.072959,1.116444,1.138499,1.132418,1.267407,1.292607,1.426839,1.592456,1.610666,1.550265,1.507273,1.558255,1.604345,1.726601,1.705346,1.766281,1.850215,1.94468,1.967155,1.970448,2.038691,2.106778,2.339219,2.446648,2.686419,2.651309,2.693407,2.732562,2.663144,2.842698,2.956053,3.161377,3.634153,4.18302,4.685233,5.167762,5.607455,5.740824,6.08795,6.572528,7.136111,7.227067,7.541151,7.58725,7.472673,7.451965
COL,Colombia,1.46821,1.448048,1.456619,1.462433,1.539301,1.406496,1.465032,1.469446,1.486737,1.461378,1.460957,1.443507,1.433539,1.468771,1.459476,1.481582,1.465451,1.499783,1.485399,1.505629,1.512454,1.534663,1.561051,1.624042,1.588536,1.635294,1.590666,1.697531,1.702712,1.470785,1.508538,1.477771,1.399383,1.368179,1.355791,1.388871,1.346026,1.365379,1.362721,1.417584,1.385652,1.52587,1.472652,1.572815,1.595426,1.624988,1.594817
COM,Comoros (the),0.042061,0.041114,0.055157,0.047947,0.049396,0.060342,0.070206,0.075274,0.077267,0.085778,0.076742,0.079877,0.066988,0.067138,0.067186,0.061645,0.068136,0.083778,0.098222,0.096955,0.109285,0.111387,0.105657,0.101038,0.104771,0.112736,0.112286,0.123105,0.111049,0.110755,0.112351,0.121229,0.118629,0.117185,0.118037,0.114332,0.117997,0.130631,0.134653,0.129364,0.13653,0.138955,0.139124,0.135972,0.138164,0.136031,0.136209
COD,Congo (the Democratic Republic of the),0.144887,0.142102,0.142693,0.13957,0.142722,0.136549,0.129896,0.131239,0.127927,0.137777,0.132626,0.13866,0.108377,0.13868,0.132127,0.119999,0.109249,0.117092,0.118168,0.10855,0.095935,0.077882,0.067804,0.061432,0.07884,0.075949,0.076044,0.074458,0.072956,0.067369,0.054702,0.051791,0.052711,0.059302,0.043586,0.047285,0.047005,0.049633,0.049413,0.046825,0.047515,0.052429,0.049396,0.068166,0.085387,0.083023,0.083415
COG,Congo (the),1.219936,1.340767,1.252886,5.301533,7.403174,4.451707,4.182647,1.332281,0.823589,0.729841,0.919837,1.003368,1.126435,1.116481,1.070039,1.059624,0.999631,0.987357,0.952116,0.931093,0.883404,0.863005,0.82878,0.800721,0.744417,0.855335,1.027044,1.022894,1.180354,1.169747,1.245237,1.180942,0.751525,0.915066,0.904881,1.047296,1.13149,0.965793,0.977918,1.053719,1.105174,0.993655,0.934421,1.111974,1.051807,1.025699,1.016043
